[2019-08-08 17:33:04] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:05] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:06] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:07] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:08] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:09] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:10] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:11] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:12] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:13] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:14] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:15] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:16] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:17] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:18] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:19] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:20] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:21] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:22] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:23] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:24] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:25] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:26] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:27] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:28] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:29] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:30] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:31] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:32] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:33] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:34] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:35] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:36] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:37] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:38] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:39] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:40] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:41] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:42] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:43] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:44] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:45] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:46] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:47] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:48] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:49] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:50] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:51] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:35:35] Debug: [] [0] memory total: 7664656   app used: 36612
[2019-08-08 17:36:05] Debug: [] [0] memory total: 7664656   app used: 36700
[2019-08-08 17:38:06] Debug: [] [0] memory total: 6571376   app used: 36628
[2019-08-08 17:49:50] Debug: [] [0] memory total: 6571376   app used: 36580
[2019-08-08 17:50:20] Debug: [] [0] memory total: 6571376   app used: 36656
[2019-08-08 17:50:50] Debug: [] [0] memory total: 6571376   app used: 36668
[2019-08-08 17:53:44] Debug: [] [0] open settings windows now
[2019-08-08 17:53:53] Debug: [] [0] open settings windows now
[2019-08-08 17:53:55] Debug: [] [0] open settings windows now
[2019-08-08 17:53:59] Debug: [] [0] memory total: 76170608   app used: 37440
[2019-08-08 17:54:29] Debug: [] [0] memory total: 76170608   app used: 37388
[2019-08-09 09:03:07] Debug: [] [0] memory total: 6571344   app used: 27504
[2019-08-09 09:03:37] Debug: [] [0] memory total: 6571344   app used: 27624
[2019-08-09 09:04:07] Debug: [] [0] memory total: 6571344   app used: 27628
[2019-08-09 09:04:37] Debug: [] [0] memory total: 6571344   app used: 27628
[2019-08-09 09:05:07] Debug: [] [0] memory total: 6571344   app used: 27620
[2019-08-09 09:05:37] Debug: [] [0] memory total: 6571344   app used: 27620
[2019-08-09 09:06:07] Debug: [] [0] memory total: 6571344   app used: 27620
[2019-08-09 09:06:37] Debug: [] [0] memory total: 6571344   app used: 27620
[2019-08-09 09:07:07] Debug: [] [0] memory total: 6571344   app used: 27620
[2019-08-09 09:07:37] Debug: [] [0] memory total: 6571344   app used: 27632
[2019-08-09 09:08:07] Debug: [] [0] memory total: 6571344   app used: 27396
[2019-08-09 09:08:37] Debug: [] [0] memory total: 6571344   app used: 27396
[2019-08-09 09:09:07] Debug: [] [0] memory total: 6571344   app used: 27508
[2019-08-09 09:09:37] Debug: [] [0] memory total: 6571344   app used: 27508
[2019-08-09 09:10:07] Debug: [] [0] memory total: 6571344   app used: 27508
[2019-08-09 09:10:37] Debug: [] [0] memory total: 6571344   app used: 27524
[2019-08-09 09:11:07] Debug: [] [0] memory total: 6571344   app used: 27560
[2019-08-09 09:11:37] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:12:07] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:12:37] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:13:07] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:13:37] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:14:07] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:14:37] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:15:07] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:15:37] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:16:07] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:16:37] Debug: [] [0] memory total: 6571344   app used: 27568
[2019-08-09 09:17:07] Debug: [] [0] memory total: 6571344   app used: 27580
[2019-08-09 09:17:37] Debug: [] [0] memory total: 6571344   app used: 27580
[2019-08-09 09:18:07] Debug: [] [0] memory total: 6571344   app used: 27580
[2019-08-09 09:18:37] Debug: [] [0] memory total: 6571344   app used: 27580
[2019-08-09 09:19:07] Debug: [] [0] memory total: 6571344   app used: 27580
[2019-08-09 09:19:37] Debug: [] [0] memory total: 6571344   app used: 27580
[2019-08-09 09:21:04] Debug: [] [0] open settings windows now
[2019-08-09 09:23:15] Debug: [] [0] memory total: 71648592   app used: 37248
[2019-08-09 09:23:45] Debug: [] [0] memory total: 71648592   app used: 37324
[2019-08-09 09:24:15] Debug: [] [0] memory total: 71648592   app used: 37328
[2019-08-09 09:24:45] Debug: [] [0] memory total: 71648592   app used: 37328
[2019-08-09 09:25:15] Debug: [] [0] memory total: 71648592   app used: 37320
[2019-08-09 09:25:45] Debug: [] [0] memory total: 71648592   app used: 37320
[2019-08-09 09:26:15] Debug: [] [0] memory total: 71648592   app used: 37332
[2019-08-09 09:26:45] Debug: [] [0] memory total: 71648592   app used: 37336
[2019-08-09 09:27:15] Debug: [] [0] memory total: 71648592   app used: 37336
[2019-08-09 09:27:45] Debug: [] [0] memory total: 71648592   app used: 37348
[2019-08-09 09:28:15] Debug: [] [0] memory total: 71648592   app used: 37360
[2019-08-09 09:28:45] Debug: [] [0] memory total: 71648592   app used: 37360
[2019-08-09 09:29:15] Debug: [] [0] memory total: 71648592   app used: 37568
[2019-08-09 09:29:45] Debug: [] [0] memory total: 71648592   app used: 37568
[2019-08-09 09:30:15] Debug: [] [0] memory total: 71648592   app used: 37568
[2019-08-09 09:30:45] Debug: [] [0] memory total: 71648592   app used: 37568
[2019-08-09 09:31:15] Debug: [] [0] memory total: 71648592   app used: 37568
[2019-08-09 09:31:45] Debug: [] [0] memory total: 71648592   app used: 37568
[2019-08-09 09:32:15] Debug: [] [0] memory total: 71648592   app used: 37568
[2019-08-09 09:32:45] Debug: [] [0] memory total: 71648592   app used: 37568
[2019-08-09 09:33:15] Debug: [] [0] memory total: 71648592   app used: 37572
[2019-08-09 09:33:45] Debug: [] [0] memory total: 71648592   app used: 37572
[2019-08-09 09:34:15] Debug: [] [0] memory total: 71648592   app used: 37572
[2019-08-09 09:34:45] Debug: [] [0] memory total: 71648592   app used: 37572
[2019-08-09 09:35:15] Debug: [] [0] memory total: 71648592   app used: 37572
[2019-08-09 09:35:45] Debug: [] [0] memory total: 71648592   app used: 37572
[2019-08-09 10:05:17] Warning: [] [0] QObject::connect: No such slot zchxMapMainWindow::slotChangeColorScheme(bool)
[2019-08-09 10:05:17] Warning: [] [0] QObject::connect:  (receiver name: 'zchxMapMainWindow')
[2019-08-09 10:05:17] Warning: [] [0] QObject::connect: No such slot zchxMapMainWindow::slotShowDisplayCategory(bool)
[2019-08-09 10:05:17] Warning: [] [0] QObject::connect:  (receiver name: 'zchxMapMainWindow')
